rank,name,symbol,market_cap,price,circulating_supply,volume,change_7d
372,Guncoin,GUN,"$4,078.68",$0.00006115,"66,699,828 GUN",$2.6531,-7.02%
373,OpenSourcecoin,OSC,"$3,960.33",$0.0008355,"4,740,162 OSC",$61.18,33.66%
374,MiracleCoin,MCL,"$3,872.52",$0.003872,"1,000,153 MCL",$2.9269,-16.02%
375,Glyph,GLYPH,"$3,856.53",$0.001694,"2,277,049 GLYPH",$0.2573,-20.62%
376,Kongzi Print Shop,KPS,"$3,805.22",$0.2711,"14,038 KPS",$51.23,-9.27%
377,Plankton,FOOD,"$3,782.81",$0.00000378,"1,000,618,345 FOOD",$19.08,--
378,Aiden,ADN,"$3,763.38",$0.0002571,"14,639,403 ADN",$12.74,-1.45%
379,Junkcoin,JKC,"$3,694.65",$0.0002646,"13,961,400 JKC",$0.08944,1.93%
380,Bancorcoin,BNCR,"$3,615.24",$0.0006578,"5,495,936 BNCR",$7.2527,11.45%
381,Benjamins,BEN,"$3,600.15",$0.001483,"2,427,600 BEN",$0.0003774,35.36%
382,LemurCoin,LMR,"$3,580.68",$0.03581,"100,000 LMR",$29.61,16.65%
383,Pesa,PES,"$3,482.63",$0.0001736,"20,058,734 PES",$84.24,43.47%
384,PLNcoin,PLNC,"$3,477.76",$0.0002646,"13,141,832 PLNC",$10.64,1.01%
385,Magicoin,MAGIC,"$3,427.39",$0.0008355,"4,102,283 MAGIC",$0.004177,2.90%
386,LegendaryCoin,LGD,"$3,377.74",$0.0006805,"4,963,724 LGD",$1.4235,-40.22%
387,CAPTcoin,CAPT,"$3,325.62",$0.001047,"3,175,760 CAPT",$1.7241,-5.23%
388,GCN Coin,GCN,"$3,299.26",$0.00000005,"61,715,210,000 GCN",$1.7471,8.52%
389,WhistleCoin,WSTL,"$3,294.44",$0.0001815,"18,154,918 WSTL",$103.55,-7.18%
390,Talkcoin,TAC,"$3,293.11",$0.0002495,"13,198,260 TAC",$1.4430,-39.11%
391,CRTCoin,CRT,"$3,251.61",$0.04102,"79,270 CRT",$0.007247,17.85%
392,Umbrella-LTC,ULTC,"$3,146.18",$0.007704,"408,400 ULTC",$13.82,-62.63%
393,Nimbus,NMB,"$3,146.07",$0.0002232,"14,093,432 NMB",$5.5118,-44.46%
394,CorgiCoin,CORG,"$3,127.37",$0.00000004,"87,674,904,487 CORG",$12.30,-13.40%
395,InkWayCoin,LKNX,"$3,075.76",$0.0003076,"10,000,000 LKNX",$2.5020,18.58%
396,HamRadioCoin,HAM,"$3,053.18",$0.001989,"1,534,676 HAM",$31.52,-1.63%
397,Pyramids,PYRA,"$2,987.99",$0.0001021,"29,273,160 PYRA",$0.4593,44.63%
